state,visited
Alabama,0
Alaska,0
Arkansas,0
Arizona,1
California,1
Colorado,1
Connecticut,1
Delaware,0
Florida,1
Georgia,1
Hawaii,0
Iowa,0
Idaho,0
Illinois,1
Indiana,1
Kansas,0
Kentucky,1
Louisiana,0
Maine,1
Maryland,1
Massachusetts,1
Michigan,1
Minnesota,0
Missouri,1
Mississippi,0
Montana,0
North Carolina,1
North Dakota,0
Nebraska,0
New Hampshire,1
New Jersey,1
New Mexico,0
Nevada,1
New York,1
Ohio,1
Oklahoma,0
Oregon,1
Pennsylvania,1
Rhode Island,1
South Carolina,1
South Dakota,0
Tennessee,1
Texas,1
Utah,0
Virginia,1
Vermont,0
Washington,1
Wisconsin,0
West Virginia,1
Wyoming,0
